Name,Text,URL,,
ABX UTI DIAGNOSIS CLINICAL MANIFESTATIONS,DysuriaFrequencyUrgencySuprapubic painHematuria None,,,
ABX UTI DIAGNOSIS CLINICAL MANIFESTATIONS 2,Fever (>38ºC)ChillsFlank painCostovertebral angle tendernessNausea/vomiting,,,
ABX UTI DIAGNOSIS ORDER SET,"Acute Uncomplicated CystitisINTRODUCTION - Acute cystitis refers to infection of the bladder (lower urinary tract); it can occur alone or in conjunction with pyelonephritis (infection of the kidney ? the upper urinary tract). PATHOGENESIS ? Asymptomatic bacteriuria and symptomatic urinary tract infection are much less common in men than in women. This is due to longer urethral length, drier periurethral environment (with less frequent colonization around the urethra), and antibacterial substances in prostatic fluid.ASYMPTOMATIC BACTERIURIA ? Asymptomatic bacteriuria refers to the presence of a positive urine culture in the absence of symptoms. For men, asymptomatic bacteriuria is defined as a single, clean-catch voided urine specimen with one bacterial species isolated in counts =10(5) CFU/mL in the absence of symptoms. Asymptomatic bacteriuria in young healthy men is rare. Among the elderly, the prevalence of asymptomatic bacteriuria is lower in men than in women; in one report, the prevalence was 6 versus 18 percent respectively.",,,
ABX UTI DIAGNOSIS ORDER SET 2,"Diagnosis ? The diagnosis of uncomplicated cystitis or pyelonephritis begins with assessment of the clinical history, guided by the clinical manifestations above. Physical examination should include assessment for fever, costovertebral angle tenderness, abdominal examination, and possibly a digital rectal examination.Laboratory diagnostic tools consist of urinalysis and urine culture with susceptibility data. A urine Gram stain may be helpful in guiding the choice of empiric therapy pending culture results. A urine culture should be performed in all men with symptoms suggestive of cystitis. Urinalysis ? Urinalysis for evaluation of pyuria is the most valuable laboratory diagnostic test for UTI. Pyuria is present in almost all men with acute cystitis or pyelonephritis; its absence strongly suggests an alternative diagnosis or, in a patient with pyelonephritis, the presence of an obstructing lesion.The most accurate method for assessing pyuria is to examine an unspun voided midstream urine specimen with a hemocytometer; an abnormal result is =10 leukocytes/microL. White blood cell casts in the urine are diagnostic of upper tract infection. The presence of hematuria is helpful since it is common in the setting of UTI but not in urethritis. Hematuria is not a predictor for complicated infection and does not warrant extended therapy.",,,
ABX VA FORM 10-9012,VA Form 10-9012,\\v23.med.va.gov\V23\VISN 23\Services\VHA13FPC14\VISN23\CDSS\Remdesivir VA Form 10-9012.pdf,,
ABX VACC 2 START,1 of 2 dose series2 of 2 dose series,,,
ABX VACC 3 START,1 of 3 dose series2 of 3 dose series3 of 3 dose series,,,
ABX VACC 4 START,1 of 4 dose series2 of 4 dose series3 of 4 dose series4 of 4 dose series,,,
ABX VACC START,todayat a future date (refer to RTC order),,,
ABX VACCINE INFO,__________________________________________________________________________The below will text and links not be included in this order:,,,
ABX VACCINE RTC,"*Provider: If this is a televisit, complete return to clinic (RTC) order included in this order set. If this is an in person clinic visit, please cancel the RTC order. If ordering multiple different vaccine series place only one RTC order (if RTC is required) and one nursing text order (also included in order set).",,,
ABX VACCINE VISIT LOCATION,Televisit. Nurse: refer to return to clinic order for administration date. Clinic visit. Nurse: administer dose(s) today or place RTC order to admin at later date.,,,
ABX VISN 23 ANTIMICROBIAL CDSS,VISN 23 Antimicrobial CDSS,,,
ABX WIR LINK,WIR (Wisconsin Immunization Registry) - Non-VA vaccines,https://www.dhfswir.org/PR/clientSearch.do;jsessionid=U_zHpKge8tpC2vrB-JrXsAAZB9_TkPC8fQY7FS4u.master:ir-server?language=en,,
ABX YESNO,YesNo,,,
